"geometry","name"
"POLYGON((16.345661 59.455894, 16.47063 59.460779, 16.537235 59.45415, 16.571567 59.41015, 16.614826 59.372391, 16.576374 59.336341, 16.502903 59.306212, 16.420505 59.305861, 16.345661 59.329337, 16.299655 59.391626, 16.312015 59.43076, 16.345661 59.455894))","Eskilstuna"
"POLYGON((16.502216 59.6667,16.603839 59.693391,16.658084 59.688193,16.628559 59.648316,16.708896 59.618464,16.717823 59.594493,16.628559 59.572592,16.558521 59.601443,16.519382 59.579199,16.459644 59.580242,16.421878 59.597968,16.428745 59.618464,16.463764 59.648663,16.502216 59.6667))","Västerås"
"POLYGON((15.179737 59.324783,15.242221 59.340893,15.269687 59.319178,15.288227 59.30481,15.278614 59.285175,15.28136 59.259213,15.277927 59.230069,15.262134 59.216717,15.225742 59.208985,15.17493 59.210391,15.150211 59.20547,15.119998 59.208282,15.109699 59.237094,15.130298 59.280265,15.148838 59.306913,15.179737 59.324783))","Örebro"
